artist_id,artist_latitude,artist_location,artist_longitude,artist_name,song_id
AR052WY1187FB55B1C,27.4955,BRADENTON. FL,82.57807,We The Kings,SOGEKSP12A58A78530
AR0S3YD1187B99967F,,Jacksonville FL,,The Classics IV,SOYRACV12A8C13C4D8
ARNNRN31187B9AE7B7,,Forrest City AR,,Al Green,SOIDBNB12A58A7A72C
ARZDP5D1187B9B4ECB,50.84838,Brussel 1981,4.34968,Arbeid Adelt,SOEDXTY12A6D4FB0ED
ARFL99B1187B9A2A45,,PERTH AMBOY New Jersey,,Sugarland,SOXTCXD12AB0183E39
ARVBV0V1187B9A7678,39.95227,Philadelphia PA,75.16237,Lisa Left Eye Lopes,SOVXDIL12AB0186426
ARC4W081187B9ACDBD,35.14968,Memphis TN,90.04892,Skillet,SOYFMVU12A67020126
AREJXK41187B9A4ACC,46.71067,France,1.71819,Raphaël,SOGSMXL12A81C23D88
ARFLQWF11F4C83B4E7,,,,60 Watt Kid,SOQBDCA12A8C1408D9
ARCRS2O1187B99012F,37.81753,Melbourne Australia,144.96715,Holly Valance,SOXAPDD12A6701DAB7
ARTYXEZ1187FB54560,,,,The Airborne Toxic Event,SOYRFUE12AB0183E5C
AR050VJ1187B9B13A7,,,,Dead Kennedys,SOZQSGL12AF72A9145
ARSPGHQ1187B9AF447,,,,Will Young,SOLYDHH12AB017C34C
ARMOHN71187FB3959F,33.6671,Orange County CA,117.76505,Atreyu,SOBTEHX12A6D4FBF18
ARFJZRY1187FB3C85E,,Paterson NJ,,Bette Midler,SOOTYVJ12A8C14184B
AR4571B1187B9B976D,,,,Astrix,SOVWHFR12AB0186C47
ARBHW3X1187B999013,,,,La Oreja de Van Gogh,SOTJWZX12A8C135C8B
ARFQOGB1187FB36588,35.14968,Memphis TN,90.04892,Johnny Burnette,SOWSRIF12A6D4F748A
ARTOFZO1187B9AF7FA,,,,Nosoträsh,SOXJPIB12AC90712C1
ARP52CP1187B98FD6B,,,,Poundhound,SOOQYHX12AB01824D0
ARJYEDS11E2835DC00,,,,KA SO RE,SOOCXVJ12AB018171D
AR2VNTF1187FB40BE9,,,,Sophie Rimheden,SOQKIKH12AB0188E7D
AR1SHY11187B9A1CB1,,,,DJ Laz,SOMZICS12AB017D548
AR0YIO81187FB39F86,,,,Barbara Morgenstern,SOJOOPN12AB018AF65
ARRIEJC1187B9B8072,40.71455,New York NY,74.00712,Morningwood,SOVRCOT12A8C140836
ARMD3HR1187FB41E42,42.33168,Detroit MI,83.04791999999999,J.D. Souther,SOVJNZK12AAF3B3276
ARYYI3A1187B98CD79,,Halmstad Sweden,,Spiritual Beggars,SOIECVJ12AB0182F44
AR1XEHY1187B991393,45.511790000000005,Portland OR,122.67563,Heatmiser,SOOSKCQ12A58A7C6CB
AR4QT4U11C8A4174C3,,,,Joseph Arthur,SOQPOPG12A6D4FBE66
ARK8OHG1187B99016A,,Boston MA,,Shadows Fall,SOKMPKV12A67AE241B
ARQUMH41187B9AF699,34.053490000000004,Los Angeles CA,118.24531999999999,Linkin Park,SOEKSGJ12A67AE227E
ARB2M051187FB56FA9,40.71455,New York NY,74.00712,Spoonie Gee,SOBHQIJ12A6D4FC7D3
ARCZCHX122BCFCD5A1,,,,Mor W.A.,SOREFOV12A8C139E98
ARPTKO21187B98D5FF,,,,Dynamic Syncopation,SOFKPOF12AB0183B8D
ARMEXUV1187B9B4CD7,,,,Now Its Overhead,SORBCHC12A8C13A6C8
AR8URAF1187B9B94B8,27.9758,Florida,81.54106,God Module,SOFDYVL12AB01883B2
AR536YP1187B98E8A9,,,,DARKANE,SOOROJD12A6D4FC3D1
AROZ9WA1187B995DF9,,,,Emmerson Nogueira,SOMNGEM12AB017AA7F
AR6BNBY1187B998232,43.32618,Burlington ON,79.79854,Finger Eleven,SOGMZPR12AB018D33C
AR26N5C1187FB52DDB,,,,World Party,SOWFQJT12AB0180C58
ARPCNNQ1187B9992CF,,,,The Cootees,SOVIDFP12A6D4F776B
ARXSXI11187B990FC1,,,,Tukan,SOYRLZA12AB018A009
ARR1L1G1187FB3B9D0,65.0103,Oulu Finland,25.4735,Uusitalo,SOPVAOQ12A8C132F94
ARLKF6O1187FB3659C,51.7562,Oxford England,1.25949,Thea Gilmore,SOEFJMR12AB0184932
AR62BB21187B9AC83D,42.31256,Boston,71.08868000000001,The Breeders,SONMOUV12A8C139CF0
ARIY5OL1187B99A66F,,,,Matthew Dear,SOIMSIZ12A58A7BA35
ARRD4CD1187B9891FB,,,,Anna Eriksson,SOVHLXQ12AB0183EE6
ARQ6F0E1187FB45427,,,,Eisbrecher,SORZBCP12A6D4FC924
AR65I1B1187FB4664E,40.71455,New York NY,74.00712,John Zorn,SOCPVUT12A81357309
ARSXFQQ11F50C4E4E2,,United States,,Manson Family,SOCUGSF12A8C13B6C0
AR9W3X91187FB3994C,,Chiswick London England,,Phil Collins,SOZKFHV12A6D4F996F
ARTOG9T1187B99074E,,West Philadelphia PA,,Will Smith,SOYMRBS12A8C1316FC
ARL1ZND1187B9AE2D4,,,,Roine Stolt,SOOOZCE12AB017FAEC
AR531IG1187FB59B35,,CANADA  Ontario,,Back Door Slam,SOOQCOC12A8C132A5A
AR38AUN1187FB3CDE0,,,,Segismundo Toxicómano,SOIAILI12AB0183807
ARK885Q1187FB5398E,,,,Stars,SOKHQVN12AB0180281
ARPKQCH1187FB517D8,,,,Langhorne Slim,SOMJZOZ12AF72A228D
AR7SVRP1187FB55875,,,,Billy May  His Orchestra,SOQNRHE12A8AE4849A
ARQSM561187FB4A0CF,33.6671,Orange County  USA ,117.76505,Jacks Mannequin,SOEGIBX12A8AE48C53
AR4VT3E1187FB570BB,,Nebraska,,Cher,SOCBJLF12A8C13473D
ARW5S821187FB3F681,51.91892,Poland,19.1343,Justyna Steczkowska,SOGLCAY12A58A7C8EE
ARMI8BW1187FB57B2E,,New York NY,,Kiss,SOIAZJL12A6D4F854E
AR9C8IE1187B9ACC99,,Los Angeles CA,,System of a Down,SOTKFLY12AF72A73C3
ARBIECI11F4C845BBC,33.67889,Huntington Beach CA,118.00157,The Aquabats,SODKAHP12A8C13D2F7
ARJHEV01187FB3F426,,,,Michael Been,SOLBFYR12A58A754FB
AR202MX1187B9B0383,,,,Tanto Metro  Devonte,SOMAFQT12A8AE47E8D
ARUD6KN1187B991984,,,,Jan De Wilde,SOWTHFS12A6D4F8779
ARHLGDG11F4C846A37,,Atlanta GA,,Lil Jon  The East Side Boyz,SOVCYPK12A58A78DE3
ARSZVL61187FB3F4C7,,,,Sandi Patty,SOLAWLY12A6701C460
ARENMIP1187FB5638D,54.314069999999994,UK,2.23001,Robbie Williams,SOBIZYU12A6D4F66C8
ARTFT6P1187FB4ACBE,32.89123,Mendoza Argentina,68.83955,Los Enanitos Verdes,SODGDFV12A8C13921E
ARRXD651187B9A3358,51.50632,London England,0.12714,Femi Kuti,SONYOUS12AB017CB16
ARODAJU1187FB39FE9,,,,The Pacifics,SONDMJP12AB01829FF
ARF6GW61187B9AF41C,,,,Big Drill Car,SOOLMAR12A58A7D7C6
ARLOIB41187FB3FF76,,,,Think About Mutation,SOQKBJP12A67ADCE14
ARQQEXK1187B993A7A,,,,London Elektricity,SONMQVR12AB018B60C
ARNOVEM11EBCD76E9A,60.17116,Helsinki,24.932579999999998,Crumbland,SOXUPSB12A81C22EE4
ARQOG9F1187FB3C8D9,,,,Brother Firetribe,SOPIKDK12A6D4FBFF4
ARMI36C1187B99A462,,Washington DC,,Duke Ellington,SOCDPPZ12A6D4F67BF
ARXJSHW1187B9A2A52,25.72898,Miami FL,80.23742,Nestor Torres,SOMMPRY12A8C131C5C
ARFKY031187B9906DA,41.517759999999996,Connecticut,72.75753,Edens Curse,SORVREU12AB0184168
ARCLJQZ11E2835CE37,37.80506,Oakland CA,122.27301999999999,Alvin Youngblood Hart,SOSNDGZ12AB017D82F
AR7OCK81187B98D1F1,34.053490000000004,Los Angeles CA,118.24531999999999,Debbie Davies,SOIHVVZ12A8C138E9D
ARZLJGL1187FB3767C,,,,Planetshakers,SOFMPSQ12AF72A87B9
ARMZ9ZJ1187B990F48,34.053490000000004,California  LA,118.24531999999999,Tribeca,SOAOGGJ12AB018B69A
ARW2FBY1187FB4D587,,Boston MA,,7L  Esoteric,SOCBGCP12A8C13BFF0
ARBNXYA1187FB51C50,18.22328,Puerto Rico,66.42889,Daddy Yankee,SOIKPOX12A58A7BA0B
ARMF8CE1187B98CD05,,TUCSON Arizona,,Maze Featuring Frankie Beverly,SOLVOGK12AB01800D2
AR8S6R11187B9B0407,,,,Nevermore,SOXDCLR12A6D4F5049
AR5KFE91187FB4C5D7,,,,Coconut Records,SOFVJKA12AB017EF41
ARHW67T1187B98CCEA,,,,Theoretical Girl,SOFIFXB12AB017DE00
ARBCZNY1187B98F867,41.88415,Chicago IL,87.63241,Number One Cup,SOBVIPU12A67AD92EA
ARMH0DR1187B992997,42.503820000000005,ITALY,12.57347,Sam Paglia,SOLZQNU12AB01872E7
ARPFDJ01187FB3C98B,51.05364,Dresden Germany,13.74081,Letzte Instanz,SOCVXHE12AB018655E
ARMHSPU11F50C4FDF8,,,,Cérebro Eletrônico,SOWOQFL12A8AE44CB9
ARF4L041187FB4D318,,,,Tom Petty And The Heartbreakers,SOYTUPB12AB01835D2
ARD8L7F1187FB430B3,,,,Jazz Jamaica,SOKOZWM12A6D4F5847
AR8JO2B1187B98EBB6,,New York City NY USA,,Leftöver Crack,SOZZAPM12AB01873DA
AR22EGJ1187B989781,52.883559999999996,UK  England  South East,1.97406,Incantation,SOBARGW12A8C13ECB3
ARI0W8Y1187B9A8BE9,51.16418,Germany,10.45415,Monrose,SOFVWIT12A8AE46400
ARQ55A41187B9A271A,,,,Scott Henderson,SOQFJBQ12AB0184E76
AR79DE81187FB4FA40,34.053490000000004,Los Angeles CA,118.24531999999999,Sylvester,SOORGAU12AB018D697
ARHQYFB1187FB4AECF,,,,The Cortinas,SOYMQQN12A58A7D293
ARMHMXB1187FB55E33,39.10295,Kansas City MO,94.58306,The Get Up Kids,SOLURWH12A58A7DD13
ARYSMVX1187B98CC8E,50.97695,Weimar,11.327869999999999,Chandeen,SOVSVWU12A6D4F9A6F
ARDHGXB122BCFCD697,,New Orleans LA,,The Generationals,SODMFKU12AB01846F6
ARQ45091187FB54009,,,,Allan Edwall,SOMGRKB12AF72A3FBB
ARM7UY51187B993E17,40.71455,New York NY,74.00712,Eddie Palmieri,SOYBJJE12A8C13CC79
ARRLCY71187B9A0FC6,,,,Jongo Trio,SOMZNFA12A6D4F8A2A
AROEQW91187FB58663,,Paris FRANCE,,Sébastien Schuller,SORORLM12A8C143E2F
AR2WBR31187B9AA24E,,,,Moderatto,SOWSJXJ12A8C13BB96
ARERBR41187FB3A415,,,,Spearmint,SOJHJJK12A8C14368B
ARP9CNW1187B9AEA4D,45.46894,Milan Italy,9.18103,Claudio Abbado,SOBBWOF12A8C133D51
ARIU7E71187B9A969C,,,,Chick Corea  John McLaughlin,SOODCBM12AB0181B03
AR6E1GC1187B9934CB,41.517759999999996,Connecticut,72.75753,Blood Has Been Shed,SOGNKQM12A6D4FDAA0
ARBXDW41187B98B085,,,,Variety Lab,SOCCFGS12AAF3B2E63
ARZGU111187B9A5E10,,London England,,Long John Baldry,SOBDGPL12A6D4F85EF
ARJN3LP1187FB48791,,,,Wau Y Los Arrrghs,SORSEVK12A8C139307
ARZS5VW1187FB567E8,,,,William Orbit,SOQKFHB12AB0186B13
AROCD4V1187FB486D3,,United Kingdom,,Shpongle,SOQNJFC12AB018A9B3
ARKE6XC1187B991839,,,,Merche,SOLKNNO12A8C13BD56
ARB0YWU1187FB37A96,40.91245,Mount Vernon NY,73.83827,Bob Baldwin,SOWDVLR12AB0183DF4
AR1RA2I1187B9991AC,42.36679,Cambridge MA,71.10602,State Radio,SOZFZCT12AC468C51F
ARFOZTS1241B9C81BC,,,,Quique Neira,SOZSJVM12A8C13B843
ARJE0KX1187FB53E82,,,,Energy,SOGLXHC12A58A7C184
AR9VTWU1187FB571BB,47.603559999999995,Seattle WA,122.32943999999999,Estradasphere,SOPOFZU12AC907506D
ARR20461187B9B4E42,48.70185,France,2.31371,Glorior Belli,SOGFGOM12AB017E1F0
ARDBX931187FB387EF,,,,Shazaam,SOJTPOR12AB018B862
AROXJ681187FB455CE,,,,Six Feet Under,SOJTIZK12AB018512D
ARLB9PJ1187B9AC984,,,,Chokebore,SOUOSCT12AB018205C
ARE3PRA1187FB39AB7,,Lake Charles LA,,Lucinda Williams,SOJJVJA12AF72A7A10
AR914BW1187FB45A1B,,Manchester England,,Morrissey,SOJVPKR12AB0184F3A
ARZPDAD1187B98D940,,,,Fattburger,SORMZBW12AC4686EC0
ARF2SVO1187FB53E8F,,,,Alison Krauss,SOAIJFI12AB0188387
ARBYIUC1187FB55F76,,,,DT8 Project,SOCFWEY12AB017E62D
AR4ASIL1187FB46020,,,,30Y,SOQLLKX12AB0180E25
AR6PETN1187B998AA2,,BROOKLYN New York,,Sauce Money,SOQZHRO12A6D4F8147
ARPITD31187FB538FF,,,,Ex Models,SOYMDKW12A6D4F76A0
ARC0T361187B9AFDBE,,,,The Stanley Brothers,SOZHFMV12AB01815B5
ARNLO5S1187B9B80CC,,Pasadena CA,,Van Halen,SORKWDV12A8C13B43B
ARKL75U1187FB5B8B6,43.01437,Waukesha WI,88.23546,BoDeans,SOGHPNO12A582A2482
AR3JQCQ1187FB38FE8,,,,The Balanescu Quartet,SOKJIGM12A8AE46D99
ARMCBOA1187FB5B0CD,,,,Miikka Leinonen,SOENZHO12AB01883A3
ARDN99S1187B995D72,,,,Percubaba,SONMVHP12A8C136D33
ARNZPLV1187FB3DF5D,,,,Capleton,SOSFURN12A58A7AC5F
AROJAG11187B9B71A3,51.50632,London,0.12714,The Chap,SOPGCJJ12A58A796B7
AR6QQY41187B990574,56.461369999999995,Dundee Scotland,2.9676099999999996,Danny Wilson,SORXMMR12A6D4FBCF7
ARRQISZ120AB960FC9,,Hawaii,,Eve  Alicia Keys,SOXARYC12A6D4FAC38
ARZQB3X1187FB47E1B,,,,Dananananaykroyd,SOCDCXY12AB01843AC
ARZZMWO1187B9AFB36,40.71455,New York NY,74.00712,Brutal Truth,SOHBYMZ12AB01884B1
AR1GNTB11C8A4225A1,,,,Rootz Underground,SOMEXHJ12A58A755BA
ARKA1JX1187B9ADD1E,51.50632,London England,0.12714,Javine,SOIWJUO12A6D4F7D46
ARH6W4X1187B99274F,,Oxford UK,,Radiohead,SOSQIHH12A8C13370B
ARYS8BB1187B9920BE,43.648559999999996,Toronto,79.38533000000001,Crow,SOWDGHA12AB01823CF
AR3O9LP1187FB37935,38.66059,Woodbridge VA,77.24786999999999,Pentagram,SOEOTEN12AB018A53D
AR3FYKL1187FB44945,,Phoenix AZ,,Dierks Bentley,SODVXIB12AF72A37F3
AR8160F1187B98ED08,,,,Lisa Lashes VS BK,SORFWVJ12A8C138364
ARUNLKP1187B9A5222,,Yorkshire England,,Nightmares On Wax,SOFSMIV12AB017F4B4
ARNJRQ91187B9ACFDD,14.242920000000002,SPaulo Brazil,54.38783000000001,Cibelle,SOMMUDQ12AC468B191
ARAW35N1187B994CCA,,,,Queensryche,SOAIVWY12A6D4F6A4A
AR9Q3H11187FB57D9E,41.93825,Iowa,93.38989000000001,Freestyle,SOJFFXB12A58A78B6B
AR6GJHK1187B994971,,State College PA,,Dawn Kinnard,SOLKMNQ12A8C13A890
ARP7SXX1187B99E74E,,,,Fermented Reptile,SOHBOTV12AB017BA60
ARLUAK21187B9B785A,,,,Ziggy Marley And The Melody Makers,SOSNAWZ12A6D4F74DF
AROB9PV1187B9909D2,,,,Puerto Rican Power,SOAZYYF12A58A783C3
ARRM70G1187B9A7F64,,Hudsonville MS,,Junior Kimbrough,SOHPAVE12A8AE47190
ARANIJI11F4C83EFD2,,,,Toots  The Maytals,SOVFKXD12A58A80239
ARG4YMA1187B9A15AC,,,,West Philips,SONNQFY12A8C13C226
AROMCEV1187B9B3F58,,Athens GA,,DriveBy Truckers,SOEIRNK12A58A7BE1C
ARP6FTK1187B99C59F,,California,,Softlightes,SOOTMKV12A8C13EB01
ARVJ6541187B9A4C3E,59.759519999999995,Norrtälje,18.70249,Månegarm,SOFYJDL12A58A7DD52
ARFVKN11187FB50F73,32.58507,Mississippi,89.87374,Chris Taylor,SOUDCBI12A8C13CDD3
AREZU3J1187FB50CA0,,Hahira GA,,Lizz Wright,SOWDBXP12A8C134394
AR74WCA1187FB555D7,,Macclesfield Cheshire England,,Mr. Scruff,SOSEGEL12AB0184DA5
AR8IDZK1187FB363F2,32.33765,Clinton MS,90.32943,Jonezetta,SOIUOJX12A8C130BA2
ARXFU151187FB5C016,,England,,Climie Fisher,SOSGXWH12AB01862A1
ARCLBZ01187B98D025,,,,Crematorium,SOOLZKK12A58A80000
ARJFOHC1187B9B0EC1,,,,Martin Eyerer,SOYORBF12A8C13B3B5
ARMEW4Q1187FB57238,26.71438,WEST PALM BEACH Florida,80.05269,Gilberto Santa RosaVictor Manuelle,SOGTFWI12AB0184004
ARMZIKF1187FB46B0D,,Los Angeles CA,,Murs,SOPXTMR12A8C13E718
AR5KAA01187FB5AEB7,41.88415,Chicago IL,87.63241,Herbie Hancock,SOLLGNV12A6701C582
AR0O3AV1187FB4D030,40.71455,New York NY,74.00712,Agnostic Front,SOCNBUC12A81C2075A
ARPEUFV1187FB38FF2,,,,Lombard,SOQOLYG12A8C13A4CD
ARQQLYQ11E2835E7E9,,Toronto ON,,Bruce Peninsula,SOJWXAK12AB018625A
ARU3YYC1187FB43FEE,34.60852,Buenos Aires Argentina,58.373540000000006,Luis Alberto Spinetta,SOBBCFN12A8C13E4D9
ARLQFGK1187B98DC2B,,,,Gangster Fun,SOUJGZA12AB0186FCA
ARCMIEA12086C151E5,,,,Poncho K,SOTISPF12AB0189080
AR5FP401187FB523C9,,Duluth MN,,Bob Dylan,SOQXNQP12A8C134AD7
ARGJRWL122988FD0C8,,,,The Glorious Unseen,SOFVJRV12AB018142E
ARZF5231187B9AEF2B,31.30627,Marlin TX,96.89774,Bobbi Humphrey,SOYECQI12A58A7ACC1
AR00YYQ1187FB504DC,40.71455,New York NY,74.00712,God Is My CoPilot,SOOUKWF12A8C138DB4
ARVBSHA1187B9B75AA,,,,Noumena,SOYEGLD12AC392A869
ARLIIVS1187FB5583B,39.29055,Baltimore MD,76.6096,Philip Glass,SOBJTHI12A8C133758
AR2OVFK1187FB42CA1,34.053490000000004,Los Angeles Portland OR Philadelphia,118.24531999999999,Jeff Lorber,SOUDHAN12A8C13D86A
ARHT48W1187B9ACEBA,51.48126,Cardiff Wales,3.18067,Cerys Matthews,SOBBPKU12A8C1431A1
ARKDGZ71187FB3C455,,,,Simon Patterson,SODOLBY12A8C142C74
ARTVM7B1187B9A2476,,,,Alizée,SOTJEKQ12AB018094F
ARRX8881187FB43919,,,,Killerpilze,SOYFYBU12A8C13D8B3
AR9W55Y1187FB4AA37,,Selkirk,,Frightened Rabbit,SOJXSQA12AC3DF97D8
AR2O84Q1187FB5BF74,,,,Salt The Wound,SOQGGUN12AC4689CF7
AR0SRVL1187B98A9C3,33.59233,Lubbock TX,101.85587,Mac Davis,SOYMHOU12A8C1309A8
AR9YMEH1187FB4B8E3,42.33168,Detroit MI,83.04791999999999,Slim Gaillard,SOHTNYE12A58A7CFD5
ARG9GKS1187FB4D08C,35.36696,Bakersfield CA,119.01886,Adema,SOSWZOD12AC4689788
ARSZX2G1187B98FCCF,,,,Korpiklaani,SOAHPOW12A8C142E38
ARWI3LF1187B98E456,,,,Hugh Mundell,SOESZAS12A8C13FFC1
ARVJW8Q1187FB3F429,,,,Lee Ann Womack,SODQUCF12AB0181EC8
ARMRCET1187FB52049,33.993629999999996,Hacienda Heights CA,117.97091999999999,Fergie,SOHKKXU12A67ADA08F
ARHPDQM1187FB3C318,31.15509,Leona Texas,95.96653,Albert Collins,SOWISQE12A6D4F7DBB
ARS1DCR1187B9A4A56,,,,Winston Reedy,SORZLQQ12A8C137BB6
AR47N9A1187B988BF4,,,,Beth Rowley,SOOAMQE12A81C209E4
ARFULGF1187FB5690C,42.31256,Boston MA,71.08868000000001,Galaxie 500,SOTHMIZ12AB018B7BC
ARUOEVG1187B9A2380,51.45236,Brixton England,0.12193,Clor,SOTEVAS12A8C139841
