song_id,title,duration,year,artist_id
SOGEKSP12A58A78530,August Is Over,194.35057,2007,AR052WY1187FB55B1C
SOYRACV12A8C13C4D8,24 Hours Of Loneliness,127.65995,1975,AR0S3YD1187B99967F
SOIDBNB12A58A7A72C,Keep Me Crying,189.41342,1976,ARNNRN31187B9AE7B7
SOEDXTY12A6D4FB0ED,Het Meisje Van Mijn Hart,279.03955,1983,ARZDP5D1187B9B4ECB
SOXTCXD12AB0183E39,Silent Night,202.26567,2009,ARFL99B1187B9A2A45
SOVXDIL12AB0186426,Crank It ft. Reigndrop Lopes,231.60117999999997,0,ARVBV0V1187B9A7678
SOYFMVU12A67020126,Energy Album Version,236.69506,2003,ARC4W081187B9ACDBD
SOGSMXL12A81C23D88,Je Sais Que La Terre Est Plate,148.74077,2008,AREJXK41187B9A4ACC
SOQBDCA12A8C1408D9,I Got Money,153.25995,2007,ARFLQWF11F4C83B4E7
SOXAPDD12A6701DAB7,Somebody Out There Final,235.65016,2003,ARCRS2O1187B99012F
SOYRFUE12AB0183E5C,Sometime Around Midnight,303.56853,2008,ARTYXEZ1187FB54560
SOZQSGL12AF72A9145,Halloween,216.842,1982,AR050VJ1187B9B13A7
SOLYDHH12AB017C34C,Think It Over,278.83057,2005,ARSPGHQ1187B9AF447
SOBTEHX12A6D4FBF18,You Eclipsed By Me Album Version,218.90567000000001,2004,ARMOHN71187FB3959F
SOOTYVJ12A8C14184B,The Rose,215.01342000000002,1979,ARFJZRY1187FB3C85E
SOVWHFR12AB0186C47,Techno widows,412.49914,2004,AR4571B1187B9B976D
SOTJWZX12A8C135C8B,La Estrella Y La Luna,230.47791,1998,ARBHW3X1187B999013
SOWSRIF12A6D4F748A,Settin The Woods On Fire,122.14811999999999,1995,ARFQOGB1187FB36588
SOXJPIB12AC90712C1,Polilla,84.32281,2002,ARTOFZO1187B9AF7FA
SOOQYHX12AB01824D0,River,70.86975,1998,ARP52CP1187B98FD6B
SOOCXVJ12AB018171D,Dramatically Keep You,236.32934,2008,ARJYEDS11E2835DC00
SOQKIKH12AB0188E7D,In Your Mind,271.80363,2003,AR2VNTF1187FB40BE9
SOMZICS12AB017D548,So Fresh So Fly,203.91138,0,AR1SHY11187B9A1CB1
SOJOOPN12AB018AF65,Morbus Basedow,236.66893,2008,AR0YIO81187FB39F86
SOVRCOT12A8C140836,Sugarbaby,182.64771000000002,2008,ARRIEJC1187B9B8072
SOVJNZK12AAF3B3276,A Chorus Of Your Own,379.42812000000004,2009,ARMD3HR1187FB41E42
SOIECVJ12AB0182F44,No One Heard,302.05342,2005,ARYYI3A1187B98CD79
SOOSKCQ12A58A7C6CB,Hitting On The Waiter,113.37098,1994,AR1XEHY1187B991393
SOQPOPG12A6D4FBE66,Lonely Astronaut,1232.5611800000001,0,AR4QT4U11C8A4174C3
SOKMPKV12A67AE241B,What Drives The Weak,283.48036,2004,ARK8OHG1187B99016A
SOEKSGJ12A67AE227E,Crawling Album Version,208.95302,2000,ARQUMH41187B9AF699
SOBHQIJ12A6D4FC7D3,Spoonie Is Back,393.63873,0,ARB2M051187FB56FA9
SOREFOV12A8C139E98,Radomskit W Srodku Nocy,126.92853000000001,0,ARCZCHX122BCFCD5A1
SOFKPOF12AB0183B8D,Its A Monster,65.98485,1999,ARPTKO21187B98D5FF
SORBCHC12A8C13A6C8,Turn  Go Album Version,205.26975,2004,ARMEXUV1187B9B4CD7
SOFDYVL12AB01883B2,Re.Start,274.46812,2000,AR8URAF1187B9B94B8
SOOROJD12A6D4FC3D1,Fading Dimensions,259.5522,2005,AR536YP1187B98E8A9
